"Date Time","p (mbar)","T (degC)","Tpot (K)","Tdew (degC)","rh (%)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","sh (g/kg)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","max. wv (m/s)","wd (deg)","rain (mm)","raining (s)","SWDR (W/m²)","PAR (µmol/m²/s)","max. PAR (µmol/m²/s)","Tlog (degC)","CO2 (ppm)"
01.07.2020 00:10:00,  983.85,   16.17,  290.67,   10.63,   69.68,   18.41,   12.83,    5.58,    8.15,   13.04, 1178.78,    1.27,    2.12,  194.00,    0.00,    0.00,    0.00,    0.00,    0.00,   25.08,  422.10
01.07.2020 00:20:00,  983.72,   15.90,  290.41,   10.66,   71.02,   18.09,   12.85,    5.24,    8.17,   13.06, 1179.72,    1.91,    2.84,  197.10,    0.00,    0.00,    0.00,    0.00,    0.00,   25.03,  422.90
01.07.2020 00:30:00,  983.65,   15.69,  290.21,   10.65,   71.92,   17.85,   12.84,    5.01,    8.16,   13.05, 1180.49,    1.30,    2.05,  213.30,    0.00,    0.00,    0.00,    0.00,    0.00,   24.97,  423.80
01.07.2020 00:40:00,  983.58,   15.56,  290.08,   10.68,   72.68,   17.70,   12.87,    4.84,    8.18,   13.08, 1180.93,    1.20,    2.16,  222.90,    0.00,    0.00,    0.00,    0.00,    0.00,   24.90,  424.60
01.07.2020 00:50:00,  983.58,   15.64,  290.16,   10.68,   72.31,   17.80,   12.87,    4.93,    8.18,   13.08, 1180.60,    0.89,    2.60,  220.30,    0.00,    0.00,    0.00,    0.00,    0.00,   24.83,  423.50
01.07.2020 01:00:00,  983.48,   15.55,  290.08,   10.71,   72.88,   17.69,   12.89,    4.80,    8.20,   13.11, 1180.84,    0.85,    1.84,  205.90,    0.00,    0.00,    0.00,    0.00,    0.00,   24.77,  425.00
01.07.2020 01:10:00,  983.47,   15.47,  290.00,   10.75,   73.43,   17.60,   12.93,    4.68,    8.22,   13.14, 1181.14,    0.96,    1.58,  207.30,    0.00,    0.00,    0.00,    0.00,    0.00,   24.70,  426.90
01.07.2020 01:20:00,  983.52,   15.48,  290.01,   10.75,   73.37,   17.61,   12.92,    4.69,    8.21,   13.14, 1181.16,    1.64,    2.40,  210.60,    0.00,    0.00,    0.00,    0.00,    0.00,   24.62,  425.50
01.07.2020 01:30:00,  983.49,   15.70,  290.23,   10.75,   72.38,   17.86,   12.93,    4.93,    8.22,   13.15, 1180.22,    1.34,    2.07,  217.70,    0.00,    0.00,    0.00,    0.00,    0.00,   24.54,  423.40
01.07.2020 01:40:00,  983.49,   15.79,  290.32,   10.78,   72.09,   17.97,   12.95,    5.01,    8.23,   13.17, 1179.84,    1.10,    2.14,  197.90,    0.00,    0.00,    0.00,    0.00,    0.00,   24.48,  423.50
01.07.2020 01:50:00,  983.43,   15.66,  290.19,   10.87,   73.11,   17.82,   13.03,    4.79,    8.28,   13.25, 1180.27,    1.53,    2.56,  204.30,    0.00,    0.00,    0.00,    0.00,    0.00,   24.46,  426.90
01.07.2020 02:00:00,  983.35,   15.48,  290.02,   10.88,   74.02,   17.61,   13.04,    4.58,    8.29,   13.26, 1180.90,    1.77,    2.46,  214.40,    0.00,    0.00,    0.00,    0.00,    0.00,   24.46,  428.00
01.07.2020 02:10:00,  983.27,   15.23,  289.77,   10.92,   75.45,   17.33,   13.08,    4.26,    8.31,   13.30, 1181.81,    1.76,    2.81,  209.10,    0.00,    0.00,    0.00,    0.00,    0.00,   24.43,  430.20
01.07.2020 02:20:00,  983.20,   15.21,  289.76,   10.93,   75.57,   17.31,   13.08,    4.23,    8.32,   13.31, 1181.80,    1.10,    1.99,  207.40,    0.00,    0.00,    0.00,    0.00,    0.00,   24.39,  428.00
01.07.2020 02:30:00,  983.11,   15.34,  289.90,   10.94,   75.01,   17.46,   13.09,    4.36,    8.33,   13.32, 1181.16,    0.90,    1.58,  230.50,    0.00,    0.00,    0.00,    0.00,    0.00,   24.34,  426.60
01.07.2020 02:40:00,  983.08,   15.50,  290.06,   10.94,   74.21,   17.64,   13.09,    4.55,    8.32,   13.31, 1180.47,    1.29,    2.21,  201.90,    0.00,    0.00,    0.00,    0.00,    0.00,   24.30,  425.00
01.07.2020 02:50:00,  983.14,   15.52,  290.08,   10.96,   74.23,   17.66,   13.11,    4.55,    8.34,   13.33, 1180.45,    2.48,    3.67,  222.30,    0.00,    0.00,    0.00,    0.00,    0.00,   24.25,  425.10
01.07.2020 03:00:00,  983.21,   15.50,  290.05,   10.97,   74.38,   17.64,   13.12,    4.52,    8.34,   13.34, 1180.61,    1.37,    2.68,  212.40,    0.00,    0.00,    0.00,    0.00,    0.00,   24.18,  425.30
01.07.2020 03:10:00,  983.21,   15.48,  290.03,   10.98,   74.50,   17.61,   13.12,    4.49,    8.34,   13.35, 1180.69,    1.15,    2.53,  207.80,    0.00,    0.00,    0.00,    0.00,    0.00,   24.11,  425.00
01.07.2020 03:20:00,  983.26,   15.61,  290.16,   10.98,   73.88,   17.76,   13.12,    4.64,    8.34,   13.35, 1180.22,    1.28,    2.59,  204.80,    0.00,    0.00,    0.00,    0.00,    0.00,   24.07,  424.40
01.07.2020 03:30:00,  983.27,   15.66,  290.21,   10.97,   73.64,   17.82,   13.12,    4.70,    8.34,   13.34, 1180.03,    1.74,    2.56,  208.50,    0.00,    0.00,    0.00,    0.00,    0.00,   24.03,  423.70
01.07.2020 03:40:00,  983.30,   15.72,  290.26,   10.98,   73.38,   17.89,   13.13,    4.76,    8.34,   13.35, 1179.82,    1.33,    1.80,  197.90,    0.00,    0.00,    0.00,    0.00,    1.03,   24.00,  421.20
01.07.2020 03:50:00,  983.28,   15.78,  290.33,   11.00,   73.19,   17.96,   13.14,    4.81,    8.36,   13.37, 1179.54,    1.59,    2.33,  201.20,    0.00,    0.00,    0.00,    1.96,    3.12,   23.99,  420.40
01.07.2020 04:00:00,  983.22,   15.74,  290.29,   11.02,   73.48,   17.91,   13.16,    4.75,    8.37,   13.38, 1179.62,    1.74,    2.43,  202.70,    0.00,    0.00,    0.00,    5.09,    7.45,   24.00,  422.40
01.07.2020 04:10:00,  983.20,   15.67,  290.22,   11.03,   73.84,   17.83,   13.17,    4.66,    8.37,   13.39, 1179.88,    1.31,    1.84,  201.60,    0.00,    0.00,    1.84,   10.80,   14.35,   24.00,  423.00
01.07.2020 04:20:00,  983.15,   15.68,  290.24,   11.08,   74.05,   17.84,   13.21,    4.63,    8.40,   13.44, 1179.76,    1.38,    2.63,  164.10,    0.00,    0.00,    5.12,   18.51,   22.95,   24.00,  425.90
01.07.2020 04:30:00,  983.16,   15.70,  290.26,   11.12,   74.15,   17.86,   13.25,    4.62,    8.42,   13.47, 1179.68,    1.74,    2.74,  157.80,    0.00,    0.00,   10.94,   28.49,   35.77,   24.01,  426.70
01.07.2020 04:40:00,  983.21,   15.76,  290.31,   11.18,   74.16,   17.93,   13.30,    4.63,    8.46,   13.53, 1179.47,    1.29,    2.26,  166.00,    0.00,    0.00,   18.99,   41.47,   44.20,   24.04,  428.40
01.07.2020 04:50:00,  983.28,   15.82,  290.37,   11.23,   74.12,   18.00,   13.34,    4.66,    8.48,   13.57, 1179.29,    1.93,    3.40,  166.00,    0.00,    0.00,   27.96,   58.86,   85.41,   24.13,  427.00
01.07.2020 05:00:00,  983.32,   15.86,  290.40,   11.28,   74.19,   18.05,   13.39,    4.66,    8.51,   13.62, 1179.15,    1.68,    2.51,  204.40,    0.00,    0.00,   49.51,   91.06,  103.73,   24.24,  428.80
01.07.2020 05:10:00,  983.41,   15.91,  290.45,   11.37,   74.41,   18.11,   13.47,    4.63,    8.57,   13.70, 1179.02,    1.28,    2.18,  194.50,    0.00,    0.00,   58.74,  114.50,  148.84,   24.40,  429.50
01.07.2020 05:20:00,  983.41,   15.80,  290.34,   11.45,   75.32,   17.98,   13.54,    4.44,    8.61,   13.77, 1179.44,    1.70,    3.28,  187.20,    0.00,    0.00,   80.97,  160.29,  261.61,   24.61,  429.20
01.07.2020 05:30:00,  983.40,   16.16,  290.70,   11.46,   73.66,   18.40,   13.55,    4.85,    8.62,   13.78, 1177.95,    2.78,    4.33,  164.30,    0.00,    0.00,  115.40,  219.25,  307.28,   24.81,  427.10
01.07.2020 05:40:00,  983.37,   16.43,  290.97,   11.52,   72.69,   18.72,   13.61,    5.11,    8.65,   13.84, 1176.79,    2.67,    4.30,  164.30,    0.00,    0.00,  160.59,  306.48,  416.00,   25.03,  426.70
01.07.2020 05:50:00,  983.42,   16.79,  291.33,   11.66,   71.71,   19.15,   13.73,    5.42,    8.73,   13.96, 1175.33,    1.80,    3.52,  169.10,    0.00,    0.00,  119.19,  236.34,  425.30,   25.27,  426.50
01.07.2020 06:00:00,  983.47,   16.58,  291.11,   11.68,   72.79,   18.90,   13.75,    5.14,    8.75,   13.99, 1176.24,    2.39,    4.45,  175.60,    0.00,    0.00,   75.80,  165.04,  169.42,   25.58,  424.80
01.07.2020 06:10:00,  983.47,   16.49,  291.02,   11.70,   73.29,   18.79,   13.77,    5.02,    8.76,   14.00, 1176.59,    1.83,    3.13,  194.90,    0.00,    0.00,   71.56,  167.77,  461.49,   25.77,  422.40
01.07.2020 06:20:00,  983.47,   17.04,  291.58,   11.81,   71.28,   19.46,   13.87,    5.59,    8.82,   14.10, 1174.32,    1.44,    3.25,  172.30,    0.00,    0.00,  259.77,  507.37,  574.13,   25.87,  420.80
01.07.2020 06:30:00,  983.46,   18.02,  292.56,   11.97,   67.73,   20.70,   14.02,    6.68,    8.91,   14.25, 1170.29,    2.19,    3.89,  139.10,    0.00,    0.00,  206.92,  414.30,  660.80,   26.08,  419.50
01.07.2020 06:40:00,  983.36,   17.74,  292.29,   11.99,   69.03,   20.34,   14.04,    6.30,    8.93,   14.28, 1171.28,    2.78,    4.73,  143.70,    0.00,    0.00,  123.03,  259.62,  286.68,   26.45,  418.40
01.07.2020 06:50:00,  983.38,   17.73,  292.28,   12.06,   69.38,   20.32,   14.10,    6.22,    8.97,   14.34, 1171.32,    2.34,    3.74,  158.50,    0.00,    0.00,  133.83,  278.54,  507.31,   26.75,  418.10
01.07.2020 07:00:00,  983.36,   17.97,  292.52,   12.19,   68.93,   20.63,   14.22,    6.41,    9.05,   14.46, 1170.28,    2.15,    3.74,  166.10,    0.00,    0.00,  211.73,  431.09,  900.54,   26.96,  417.90
01.07.2020 07:10:00,  983.26,   18.56,  293.12,   12.36,   67.18,   21.41,   14.38,    7.03,    9.15,   14.63, 1167.72,    2.58,    5.92,  192.30,    0.00,    0.00,  179.17,  371.74,  679.97,   27.19,  414.20
01.07.2020 07:20:00,  983.20,   18.83,  293.40,   12.38,   66.12,   21.78,   14.40,    7.38,    9.16,   14.64, 1166.56,    5.49,    8.26,  202.70,    0.00,    0.00,  178.27,  372.82,  950.31,   27.47,  410.40
01.07.2020 07:30:00,  983.23,   19.01,  293.58,   12.39,   65.44,   22.02,   14.41,    7.61,    9.17,   14.66, 1165.87,    5.62,    8.09,  205.50,    0.00,    0.00,  321.27,  649.56,  959.68,   27.65,  409.90
01.07.2020 07:40:00,  983.23,   19.57,  294.14,   12.48,   63.56,   22.80,   14.49,    8.31,    9.22,   14.74, 1163.60,    5.59,    7.35,  200.40,    0.00,    0.00,  495.13,  969.44,  998.08,   27.80,  409.60
01.07.2020 07:50:00,  983.23,   20.03,  294.60,   12.65,   62.47,   23.46,   14.66,    8.81,    9.33,   14.91, 1161.70,    4.93,    6.97,  204.70,    0.00,    0.00,  470.20,  931.11, 1020.74,   28.13,  409.10
01.07.2020 08:00:00,  983.23,   20.56,  295.13,   12.70,   60.64,   24.24,   14.70,    9.54,    9.35,   14.95, 1159.59,    5.79,   10.13,  198.50,    0.00,    0.00,  520.71, 1025.69, 1045.29,   28.60,  408.90
01.07.2020 08:10:00,  983.20,   20.62,  295.20,   12.71,   60.46,   24.33,   14.71,    9.62,    9.36,   14.96, 1159.31,    6.39,    9.65,  203.60,    0.00,    0.00,  546.83, 1078.39, 1097.23,   29.13,  408.50
01.07.2020 08:20:00,  983.11,   20.48,  295.06,   12.62,   60.65,   24.13,   14.63,    9.49,    9.31,   14.88, 1159.79,    6.86,    9.28,  208.00,    0.00,    0.00,  566.91, 1119.30, 1141.15,   29.61,  408.10
01.07.2020 08:30:00,  983.06,   20.80,  295.39,   12.72,   59.85,   24.61,   14.73,    9.88,    9.37,   14.98, 1158.43,    5.79,    9.03,  202.20,    0.00,    0.00,  493.43,  988.50, 1292.69,   30.00,  407.70
01.07.2020 08:40:00,  983.00,   20.96,  295.56,   12.72,   59.26,   24.85,   14.73,   10.12,    9.37,   14.98, 1157.73,    6.29,    8.86,  206.40,    0.00,    0.00,  627.64, 1242.34, 1354.69,   30.33,  407.50
01.07.2020 08:50:00,  982.96,   21.15,  295.75,   12.79,   58.83,   25.14,   14.79,   10.35,    9.41,   15.05, 1156.90,    6.79,   10.15,  205.00,    0.00,    0.00,  654.37, 1292.58, 1324.42,   30.63,  407.10
01.07.2020 09:00:00,  982.94,   21.53,  296.13,   12.78,   57.44,   25.73,   14.78,   10.95,    9.41,   15.04, 1155.39,    7.38,    9.80,  204.80,    0.00,    0.00,  678.30, 1341.61, 1361.10,   30.95,  407.00
01.07.2020 09:10:00,  982.99,   21.83,  296.43,   12.91,   56.88,   26.21,   14.91,   11.30,    9.49,   15.17, 1154.22,    7.19,   11.10,  218.30,    0.00,    0.00,  698.28, 1384.48, 1425.33,   31.29,  406.50
01.07.2020 09:20:00,  982.95,   22.01,  296.62,   12.85,   56.06,   26.50,   14.85,   11.64,    9.45,   15.11, 1153.49,    7.48,    9.64,  218.40,    0.00,    0.00,  729.30, 1447.46, 1501.80,   31.60,  406.50
01.07.2020 09:30:00,  982.90,   22.23,  296.84,   13.04,   55.99,   26.86,   15.04,   11.82,    9.57,   15.30, 1152.49,    6.10,    9.02,  225.50,    0.00,    0.00,  747.51, 1478.39, 1750.84,   31.87,  405.60
01.07.2020 09:40:00,  982.78,   22.54,  297.16,   13.16,   55.40,   27.37,   15.16,   12.21,    9.65,   15.43, 1151.09,    5.41,    7.41,  216.30,    0.00,    0.00,  772.78, 1535.11, 1779.44,   32.18,  405.10
01.07.2020 09:50:00,  982.73,   22.71,  297.34,   13.20,   54.96,   27.65,   15.20,   12.45,    9.67,   15.46, 1150.35,    6.24,   10.47,  226.20,    0.00,    0.00,  750.68, 1511.27, 1854.07,   32.56,  404.80
01.07.2020 10:00:00,  982.74,   22.68,  297.31,   13.18,   54.99,   27.60,   15.18,   12.42,    9.66,   15.44, 1150.49,    7.08,   10.42,  221.20,    0.00,    0.00,  817.39, 1600.71, 1947.97,   32.87,  404.50
01.07.2020 10:10:00,  982.71,   22.75,  297.38,   13.27,   55.07,   27.72,   15.26,   12.45,    9.72,   15.53, 1150.14,    6.85,   10.47,  224.40,    0.00,    0.00,  870.56, 1753.48, 1957.07,   33.09,  404.90
01.07.2020 10:20:00,  982.65,   22.80,  297.44,   13.33,   55.12,   27.80,   15.32,   12.48,    9.76,   15.59, 1149.85,    6.49,    8.38,  218.70,    0.00,    0.00,  782.13, 1574.11, 2055.71,   33.29,  405.20
01.07.2020 10:30:00,  982.70,   22.67,  297.30,   13.41,   55.86,   27.58,   15.41,   12.17,    9.81,   15.68, 1150.38,    6.37,    9.39,  230.80,    0.00,    0.00,  620.34, 1272.03, 2131.66,   33.44,  405.10
01.07.2020 10:40:00,  982.70,   22.59,  297.22,   13.33,   55.84,   27.45,   15.33,   12.12,    9.76,   15.60, 1150.72,    7.12,   10.26,  213.20,    0.00,    0.00,  967.28, 1935.09, 2249.50,   33.48,  405.10
01.07.2020 10:50:00,  982.69,   22.99,  297.62,   13.52,   55.17,   28.12,   15.52,   12.61,    9.88,   15.79, 1149.07,    5.92,    8.92,  214.80,    0.00,    0.00,  721.94, 1419.54, 2240.52,   33.50,  404.20
01.07.2020 11:00:00,  982.71,   22.95,  297.58,   13.53,   55.34,   28.05,   15.53,   12.53,    9.89,   15.80, 1149.25,    6.02,    9.34,  224.70,    0.00,    0.00,  509.78, 1008.68, 2303.97,   33.59,  403.60
01.07.2020 11:10:00,  982.68,   22.93,  297.56,   13.50,   55.29,   28.02,   15.49,   12.53,    9.86,   15.77, 1149.31,    6.28,   10.08,  234.60,    0.00,    0.00,  295.35,  588.60,  849.45,   33.64,  403.00
01.07.2020 11:20:00,  982.64,   22.88,  297.52,   13.40,   55.12,   27.94,   15.40,   12.54,    9.80,   15.67, 1149.49,    6.64,   10.34,  213.10,    0.00,    0.00,  455.46,  930.00, 2395.74,   33.54,  402.70
01.07.2020 11:30:00,  982.49,   23.33,  297.98,   13.56,   54.18,   28.71,   15.55,   13.15,    9.91,   15.83, 1147.51,    6.45,   10.65,  202.70,    0.00,    0.00,  830.48, 1652.40, 2385.09,   33.37,  402.20
01.07.2020 11:40:00,  982.39,   23.72,  298.38,   13.49,   52.69,   29.39,   15.48,   13.90,    9.86,   15.76, 1145.91,    7.56,   10.34,  210.80,    0.00,    0.00,  754.41, 1586.60, 2130.90,   33.30,  402.60
01.07.2020 11:50:00,  982.38,   23.99,  298.65,   13.62,   52.30,   29.87,   15.62,   14.25,    9.95,   15.90, 1144.80,    6.35,   10.25,  208.30,    0.00,    0.00,  947.58, 1929.35, 2165.06,   33.34,  402.50
